Rec,Inf,Name,xG,Tck,DrbPG,Mins,Av Rat,Gls,Pens S,Pens,Cr C/A,Hdr %,Pas %,Shot %,Ps C,ShT,Cr C,Cr A,K Ps/90,K Tck,K Hdrs,ShT/90,Asts/90,Ps C/90,Ps A/90,Tck A,Hdrs W/90,Shot/90,Tck W,Distance,Int/90,Tck R,Off,Aer A/90,Shots,CCC,Ch C/90,Gl Mst,Fls,Division,Age
- - -,Ama,Aljoša Cipot,0.00,1.23,-,"3,080",6.92,14,0,0,0%,-,57%,51%,402,44,0,0,-,0,0,1.29,0.06,11.75,20.45,-,-,2.51,42,0.0km,-,58%,0,-,86,0,-,0,34,Slovenian Lower League,33
- - -,Inj,Marko Vtič,0.00,0.97,-,"3,150",6.70,3,0,0,0%,-,58%,40%,407,37,0,0,-,0,0,1.06,0.14,11.63,20.00,-,-,2.63,34,0.0km,-,67%,0,-,92,0,-,0,32,Slovenian Lower League,36
- - -,,Goran Aleksić,5.83,0.77,-,"2,459",6.43,4,0,0,8%,39%,61%,38%,403,18,2,25,0.99,2,3,0.66,0.07,14.75,24.19,-,1.61,1.72,21,142.7km,1.10,51%,26,4.17,47,1,0.05,0,22,Croatian Third League Central,36
- - -,,Nejc Pečnik,9.31,0.61,-,"2,517",7.27,11,1,1,36%,43%,69%,45%,649,28,26,72,1.64,1,2,1.00,-,23.21,33.65,-,0.75,2.22,17,181.3km,1.11,74%,39,1.75,62,1,0.13,0,39,Slovenian Third League East,35
- - -,,Aleš Miketič,1.74,1.62,-,668,6.53,1,0,0,0%,52%,64%,43%,130,9,0,8,0.67,0,2,1.21,0.13,17.51,27.35,-,1.89,2.83,12,42.4km,1.21,60%,10,3.64,21,1,0.13,0,6,Serbian Second League Belgrade,36
- - -,,Admir Malkić,2.59,1.54,-,"3,388",6.96,1,1,1,32%,33%,66%,39%,695,7,50,153,1.30,5,5,0.19,0.24,18.46,28.18,-,0.85,0.48,58,249.8km,2.15,72%,22,2.55,18,8,0.36,0,62,Croatian Third League West,34
- - -,,Damjan Ladinek,0.24,1.60,-,"1,015",6.51,1,0,0,20%,53%,67%,38%,251,3,5,25,0.62,0,0,0.27,0.09,22.26,32.99,-,1.77,0.71,18,38.8km,1.42,42%,14,3.37,8,0,-,0,10,Slovenian Lower League,35
- - -,Ama,Rok Pavličič,0.00,0.77,-,"3,150",6.42,7,0,0,0%,-,55%,40%,382,38,0,0,-,0,0,1.09,0.03,10.91,20.00,-,-,2.71,27,0.0km,-,57%,0,-,95,0,-,0,26,Slovenian Lower League,37
- - -,,Miloš Zorko,7.25,0.61,-,"2,379",6.79,5,1,1,13%,62%,62%,52%,427,27,4,30,1.74,3,4,1.02,0.04,16.15,25.95,-,2.12,1.97,16,183.8km,1.02,57%,26,3.44,52,4,0.38,0,17,Slovenian Third League West,33
- - -,,Duško Stupar,0.00,0.97,-,"3,150",6.37,1,0,0,0%,-,56%,41%,393,44,0,0,-,0,0,1.26,0.17,11.23,20.00,-,-,3.09,34,0.0km,-,62%,0,-,108,0,-,0,42,Slovenian Lower League,37
- - -,,Dejan Burgar,2.56,2.17,-,580,6.29,1,0,0,11%,55%,64%,50%,117,12,1,9,0.16,0,0,1.86,-,18.16,28.40,-,0.93,3.72,14,26.0km,1.40,48%,7,1.71,24,1,0.16,0,8,Slovenian Third League West,35
- - -,,Uroš Veselič,3.04,2.00,-,"1,037",6.52,2,0,1,19%,42%,64%,55%,217,12,5,26,0.78,0,0,1.04,0.09,18.83,29.42,-,0.69,1.91,23,67.0km,1.04,46%,30,1.65,22,3,0.52,0,15,Slovenian Third League East,33
- - -,,Igor Shevchenko,0.00,1.05,-,"3,870",6.52,13,0,0,0%,-,58%,38%,503,51,0,0,-,0,0,1.19,0.16,11.70,20.00,-,-,3.12,45,0.0km,-,75%,0,-,134,0,-,0,55,Russian Third Division - Privolzhje,36
- - -,,Alexandr Alkhazov,9.77,1.19,-,"2,260",7.08,12,3,3,24%,66%,68%,47%,619,42,11,45,0.84,1,1,1.67,0.08,24.65,36.00,-,1.23,3.58,30,118.3km,1.04,55%,21,1.87,90,3,0.15,0,17,Russian Second Division - Group 2,36
- - -,,Alexandr Kutjin,15.06,0.70,0.47,"3,614",7.12,18,2,2,12%,58%,67%,54%,778,57,6,50,1.92,4,5,1.42,0.05,19.37,28.79,-,2.54,2.64,28,266.4km,1.22,57%,61,4.38,106,8,0.34,0,18,Russian Second Division - Group 3,35
- - -,,Sergey Chernyshov,0.00,1.41,-,191,7.20,1,0,0,0%,-,50%,0%,22,0,0,1,-,0,0,0.00,0.47,10.37,20.73,-,-,1.41,3,0.5km,0.47,75%,1,-,3,0,-,0,3,Russian Second Division - Group 3,36
- - -,,Anton Kobyalko,0.00,1.00,-,"3,330",6.47,7,0,0,0%,-,61%,48%,452,62,0,0,-,0,0,1.68,0.19,12.22,20.00,-,-,3.46,37,0.0km,-,67%,0,-,128,0,-,0,33,Armenian High League,35
- - -,,Sergey Zaitsev,5.93,2.22,0.06,"1,503",6.76,7,0,0,22%,28%,67%,50%,375,19,9,40,0.72,0,0,1.14,-,22.46,33.47,-,0.90,2.28,37,87.5km,1.44,58%,33,3.17,38,1,0.25,0,28,Russian Second Division - Group 3,33
- - -,,Ivan Stolbovoy,1.64,0.72,0.03,"3,357",6.71,7,0,0,50%,67%,58%,48%,468,48,2,4,0.05,0,0,1.29,0.08,12.55,21.74,-,0.05,2.71,27,14.1km,0.05,55%,5,0.08,101,0,-,0,72,Russian Second Division - Group 3,34
- - -,,Andrey Myazin,15.32,1.03,0.32,"3,064",7.00,18,2,4,0%,57%,68%,45%,800,47,0,25,1.29,0,2,1.38,0.18,23.50,34.69,-,2.29,3.08,35,206.2km,1.20,61%,65,4.02,105,9,0.43,0,22,Russian Second Division - Group 3,33
- - -,Inj,Stanislav Prokofjev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Russian Second Division - Group 4,34
- - -,,Simon Koffi,0.00,0.91,-,"3,150",6.38,7,0,0,0%,-,57%,46%,397,39,0,0,-,0,0,1.11,0.14,11.34,20.00,-,-,2.43,32,0.0km,-,54%,0,-,85,0,-,0,34,Slovenian Lower League,38
- - -,Wnt,Ismaël Fofana,6.08,1.04,0.28,"2,598",6.98,8,3,3,37%,49%,69%,54%,600,33,36,95,1.28,1,3,1.14,0.10,20.79,30.07,-,1.77,2.11,30,189.2km,1.77,58%,62,3.64,61,7,0.78,0,17,Serbian First League,32
- - -,,Modibo Sidibé,3.78,1.02,0.43,"1,680",6.91,6,1,1,0%,58%,66%,46%,375,19,0,14,1.50,3,3,1.02,0.11,20.09,30.59,-,2.04,2.20,19,112.7km,1.34,51%,27,3.48,41,4,0.94,0,23,Slovak Second Division,28
- - -,Ama,Raymond Darkeh,0.00,0.76,-,"3,081",7.33,20,0,0,0%,-,57%,58%,398,60,0,0,-,0,0,1.75,0.20,11.63,20.45,-,-,3.04,26,0.0km,-,65%,0,-,104,0,-,0,23,Slovenian Lower League,32
- - -,,Aboubacar Gakou,3.44,1.63,-,829,7.03,3,0,0,26%,54%,55%,68%,101,17,5,19,1.09,0,0,1.85,0.11,10.97,19.87,-,2.39,2.71,15,51.6km,0.22,56%,15,4.45,25,0,-,0,4,Romanian Third League Group 1,26
- - -,,Youssouf Dao,1.88,0.65,-,974,6.98,1,0,0,30%,39%,72%,40%,241,4,13,42,1.57,1,1,0.37,0.09,22.27,30.95,-,1.29,0.92,7,65.9km,1.39,78%,14,3.33,10,1,0.09,0,16,Czech Second Division,23
- - -,,Fahd Ndzengue,3.26,1.14,-,788,6.47,1,0,0,23%,36%,67%,40%,160,8,4,17,1.14,0,0,0.91,-,18.27,27.41,-,1.48,2.28,10,49.5km,0.80,56%,16,4.11,20,0,-,0,16,Slovenian First League,20
- - -,,Momo Yansane,5.12,1.26,0.28,"2,565",6.83,2,0,0,29%,45%,69%,30%,629,11,18,62,1.61,4,4,0.39,0.14,22.07,31.86,-,1.02,1.30,36,169.0km,1.02,65%,46,2.25,37,6,0.22,0,52,Russian First Division,23
- - -,,Ernest Boateng,0.00,4.29,-,21,6.60,0,0,0,0%,-,67%,-,4,-,0,0,-,0,0,-,-,-,-,-,-,-,1,1.3km,-,50%,1,-,0,0,-,0,1,Slovak Second Division,20
- - -,Inj,Juan Manuel Varea,3.34,1.59,0.04,"2,322",6.77,6,2,2,29%,47%,73%,42%,665,15,18,61,1.32,3,1,0.58,0.19,25.78,35.47,-,1.40,1.40,41,139.1km,1.12,59%,49,2.98,36,4,0.38,0,35,Croatian Third League South,35
- - -,,Chok Dau,0.00,1.16,-,"1,711",6.53,8,0,0,0%,-,56%,43%,257,36,0,0,-,0,0,1.89,0.16,13.52,24.20,-,-,4.42,22,0.0km,-,51%,0,-,84,0,-,0,34,Czech Third Division MSFL,22
- - -,,Mihret Topcagic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Croatian Second League,32
- - -,,Tadej Trdina,8.55,1.08,0.36,"2,258",6.86,10,1,1,0%,58%,67%,48%,524,28,0,21,1.08,1,4,1.12,0.08,20.89,30.97,-,2.63,2.31,27,186.3km,0.88,61%,36,4.50,58,1,0.04,0,13,Slovenian Second League,33
- - -,Inj,Siniša Baksa,0.00,0.72,-,"3,600",6.54,5,0,0,0%,-,59%,39%,473,39,0,0,-,0,0,0.97,0.07,11.82,20.00,-,-,2.50,29,0.0km,-,63%,0,-,100,0,-,0,58,Croatian Fourth League North A,33
- - -,Ctr,Niko Vlatković,0.56,2.21,-,367,6.62,1,0,0,0%,37%,65%,17%,74,1,0,6,0.98,0,0,0.25,-,18.15,27.96,-,1.72,1.47,9,22.0km,1.23,45%,7,4.66,6,1,0.25,0,2,Croatian Second League,36
- - -,Inj,Ivan Risonjić,0.00,0.85,-,"3,510",7.28,15,0,0,0%,-,58%,45%,456,45,0,0,-,0,0,1.15,0.18,11.69,20.00,-,-,2.54,33,0.0km,-,61%,0,-,99,0,-,0,50,Croatian Regional League - Cakovec (20),32
- - -,Inj,Michael Djurov,0.00,1.07,-,"2,700",7.61,11,0,0,0%,-,59%,45%,355,30,0,0,-,0,0,1.00,0.13,11.83,20.00,-,-,2.20,32,0.0km,-,50%,0,-,66,0,-,0,20,Czech Lower Division,28
- - -,,Kubilay Yılmaz,2.14,1.48,0.49,731,7.06,5,0,0,30%,48%,76%,50%,209,11,6,20,1.35,1,1,1.35,-,25.73,33.98,-,1.48,2.71,12,46.7km,2.71,46%,15,3.08,22,1,0.13,0,5,Polish First Division,24
- - -,,Dino Cvrtila,11.88,0.66,0.72,"2,987",7.36,19,0,0,25%,59%,73%,53%,967,51,20,78,2.08,4,6,1.54,0.27,29.14,40.04,-,3.40,2.89,22,204.0km,2.65,63%,51,5.72,96,14,0.72,0,19,Croatian Third League Central,26
- - -,,Denis Petrovič,7.58,0.94,0.27,"2,010",6.85,8,1,1,26%,59%,69%,38%,464,21,10,38,1.07,1,2,0.94,0.09,20.78,30.18,-,2.46,2.51,21,145.6km,1.52,54%,24,4.16,56,2,0.09,0,7,Slovenian Second League,30
- - -,,Luka Grgić,3.68,0.62,0.81,"2,450",6.75,12,1,1,0%,46%,59%,54%,307,25,0,30,1.47,2,5,0.92,0.04,11.28,19.25,-,1.40,1.69,17,155.9km,1.10,50%,64,3.01,46,2,0.09,0,5,Croatian Third League Central,28
- - -,,Benjamin Mustafic,0.31,0.93,0.09,"2,912",7.05,12,0,0,0%,33%,58%,52%,391,41,0,3,0.12,0,0,1.27,0.09,12.08,21.02,-,0.12,2.44,30,16.2km,0.09,53%,8,0.37,79,1,0.14,0,25,Czech Third Division MSFL,22
- - -,,Randy Montie,4.42,0.47,0.51,"2,667",6.98,6,1,1,35%,28%,66%,36%,533,14,42,120,1.89,3,5,0.47,0.20,17.99,27.17,-,0.98,1.32,14,172.1km,1.35,47%,41,3.44,39,8,1.00,1,20,Slovenian Second League,21
- - -,,Stanislav Svetlosak,0.00,0.93,-,"1,350",6.65,3,0,0,0%,-,58%,49%,174,23,0,0,-,0,0,1.53,0.13,11.60,20.00,-,-,3.13,14,0.0km,-,74%,0,-,47,0,-,0,10,Czech Third Division MSFL,20
- - -,Inj,Zoran Pantić,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serbian Second League Belgrade,20
- - -,FrA,Aldin Aganovic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
- - -,,Dominik Božak,8.32,0.78,0.60,"2,532",7.01,9,1,2,37%,59%,66%,49%,547,33,24,64,1.49,3,2,1.17,0.21,19.44,29.32,-,1.53,2.42,22,160.4km,1.07,59%,35,2.59,68,3,0.16,0,64,Slovenian Third League East,30
- - -,,Igor Šegović,4.42,3.12,-,548,6.85,2,0,0,14%,42%,66%,42%,133,10,1,7,0.99,0,0,1.64,0.33,21.84,33.34,-,1.31,3.94,19,34.5km,1.48,54%,16,3.12,24,0,-,0,6,Croatian Third League North,31
- - -,,Edrisa Lubega,0.06,1.96,-,46,6.50,0,0,0,0%,50%,78%,0%,14,0,0,2,-,0,0,-,-,-,-,-,-,-,1,3.5km,-,50%,2,-,1,0,-,0,0,Czech First Division,23
- - -,Ama,Filip Perić,0.00,0.87,-,"3,719",7.42,7,0,0,0%,-,60%,44%,501,39,0,0,-,0,0,0.94,0.07,12.12,20.33,-,-,2.13,36,0.0km,-,56%,0,-,88,0,-,0,33,Croatian Regional League - Zagreb (1),26
- - -,FrA,André Luis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25
- - -,,Gregor Dorniž,5.19,0.61,0.84,"3,103",6.72,5,0,0,21%,28%,61%,30%,470,14,12,55,1.62,6,6,0.41,0.03,13.63,22.36,-,0.64,1.36,21,182.5km,0.87,57%,111,2.32,47,1,0.04,0,35,Slovenian Third League West,26
- - -,Ama,Sandro Kizlin,0.00,0.84,-,"3,870",7.37,25,0,0,0%,-,59%,52%,507,56,0,0,-,0,0,1.30,0.12,11.79,20.00,-,-,2.51,36,0.0km,-,62%,0,-,108,0,-,0,44,Croatian Fourth League Central,24
- - -,,Peter Rypak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Slovak Lower Division,24
- - -,,Jovan Milutinović,0.10,1.55,-,58,6.20,0,0,0,0%,50%,63%,0%,10,0,0,1,-,0,0,-,-,-,-,-,-,-,1,4.1km,-,50%,1,-,1,0,-,0,0,Serbian First League,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
