Inf,Name,DrbPG,ShT/90,Shot %,Int/90,Tck R,ShT,Shots,Distance,Av Rat,Division,Fls,Gls,Pens,Tck W,Tck A,Shot/90,Ps C/90,Pas %,Ps A/90,Off,Mstks,Gl Mst,K Tck,K Ps/90,K Hdrs,Itc,Hdr %,Hdrs W/90,Drb,Dist/90,Cr C,Cr C/A,Cr A,Ch C/90,Pens S,Aer A/90,Asts/90,Mins,Birth City,Age
,Mikolaj Wasilewski,2.69,0.81,50%,1.07,82%,3,6,51.2km,6.70,Polish First Division,9,2,0,9,11,1.61,32.51,89%,36.54,0,8,0,0,0.81,1,4,25%,1.07,10,0.0km,5,31%,16,-,0,4.30,-,335,Biskupiec,19
,Maciej Malkowski,1.19,0.46,44%,0.86,95%,14,32,371.1km,7.16,Polish First Division,13,5,0,56,59,1.06,67.06,89%,75.71,8,42,1,2,1.89,7,26,47%,1.33,36,0.0km,84,21%,385,0.62,0,2.85,0.23,"2,715",Jastrzebie-Zdroj,35
,Michal Zyro,1.95,0.69,33%,1.38,90%,6,18,112.8km,6.49,Polish First Division,7,0,0,18,20,2.07,23.42,76%,30.88,1,16,0,0,0.46,12,12,68%,5.17,17,0.0km,7,19%,36,-,0,7.58,0.23,784,Warsaw,27
,Marquitos,1.68,1.32,53%,1.17,80%,26,49,248.7km,7.23,Polish First Division,15,12,0,33,41,2.49,38.11,88%,43.50,8,26,0,0,0.66,12,23,45%,2.03,33,0.0km,12,10%,116,0.48,0,4.52,0.10,"1,771",Sant Antoni de Portmany,33
Lst,Santi Samanés,3.89,0.37,33%,1.94,83%,4,12,140.0km,6.68,Polish First Division,22,1,0,38,46,1.11,26.20,80%,32.69,1,30,1,1,0.19,4,21,44%,2.22,42,0.0km,14,16%,83,0.09,0,5.00,0.09,972,-,24
,Santeri Hostikka,2.63,0.58,53%,1.75,81%,10,19,223.9km,6.61,Polish First Division,31,1,0,70,86,1.11,25.21,75%,33.79,2,46,1,3,0.53,10,30,52%,3.39,45,0.0km,21,17%,118,0.43,0,6.48,-,"1,542",Järvenpää,22
,Omar Monterde,2.89,1.24,60%,0.41,86%,12,20,126.5km,6.94,Polish First Division,17,4,0,31,36,2.06,29.21,81%,36.02,2,16,0,0,1.14,2,4,34%,2.17,28,0.0km,31,21%,145,1.23,0,6.30,0.21,872,Valencia,31
,Farid Ali,2.43,1.06,56%,0.74,84%,33,59,397.4km,6.67,Polish First Division,44,6,0,90,107,1.89,26.90,80%,33.60,8,74,1,0,0.51,12,23,36%,1.89,76,0.0km,45,20%,223,0.23,0,5.19,0.16,"2,810",Kyiv,28
Inj,Robert Bartczak,1.96,0.64,32%,1.75,86%,18,56,350.8km,6.63,Polish First Division,47,2,0,93,108,1.99,30.49,79%,38.43,5,61,0,3,0.36,25,49,59%,4.35,55,0.0km,17,11%,154,0.78,0,7.34,0.11,"2,527",Wloclawek,24
,Mateusz Borcuch,3.73,1.12,75%,0.37,100%,3,4,31.9km,6.94,Polish First Division,4,1,0,7,7,1.49,34.73,82%,42.20,1,5,0,0,0.37,1,1,38%,1.87,10,0.0km,0,0%,16,-,0,4.85,-,241,-,18
,Cezary Sauczek,2.63,1.27,58%,1.87,91%,15,26,149.3km,6.76,Polish First Division,25,4,0,39,43,2.21,27.79,79%,35.35,2,23,0,0,0.76,19,22,56%,4.59,31,0.0km,10,15%,64,0.58,0,8.24,-,"1,059",Warsaw,21
Inj,Lukasz Sierpina,4.04,1.21,48%,1.09,98%,39,81,426.7km,7.11,Polish First Division,15,10,0,93,95,2.52,24.26,74%,32.87,13,46,0,1,0.65,23,35,42%,2.86,130,0.0km,78,13%,594,0.44,0,6.74,0.25,"2,897",Zlotoryja,32
,Mateusz Michalski,2.62,0.86,53%,1.29,88%,20,38,305.2km,6.73,Polish First Division,33,2,0,61,69,1.63,28.88,77%,37.52,15,54,0,0,0.95,10,30,47%,2.92,61,0.0km,61,19%,313,0.63,0,6.23,0.26,"2,094",Warsaw,28
,Lukasz Szczepaniak,1.77,0.95,84%,0.77,81%,16,19,192.4km,6.85,Polish First Division,27,8,0,35,43,1.12,24.48,83%,29.51,7,32,0,1,0.30,10,13,31%,3.13,30,0.0km,9,18%,48,0.19,0,10.05,-,"1,522",Ostrow Wielkopolski,33
,Maksymilian Banaszewski,1.21,0.77,45%,1.02,84%,25,55,412.6km,6.92,Polish First Division,43,4,0,64,76,1.70,25.69,83%,30.79,3,56,0,0,1.21,5,33,36%,1.30,39,0.0km,70,23%,293,0.41,0,3.62,0.12,"2,908",Warsaw,25
,Mateusz Staporski,0.48,0.00,0%,-,100%,0,2,22.1km,6.40,Polish First Division,3,0,0,1,1,0.95,16.19,85%,19.05,3,0,0,0,-,1,0,46%,5.24,1,0.0km,1,33%,3,-,0,11.43,-,189,Nowa Deba,32
Wnt,Dominik Kun,3.67,1.30,65%,1.75,89%,40,62,406.8km,6.95,Polish First Division,39,8,0,93,104,2.01,31.80,78%,40.99,15,47,1,0,0.65,20,54,50%,3.80,113,0.0km,34,18%,179,0.30,0,7.63,0.13,"2,771",Gizycko,26
,Adrian Lyszczarz,2.41,0.80,42%,1.28,68%,5,12,47.0km,6.65,PKO Bank Polski Ekstraklasa,7,1,0,15,22,1.93,20.21,72%,28.24,14,1,0,0,0.32,0,8,59%,2.57,15,0.0km,2,11%,17,0.91,0,4.33,0.16,561,Olesnica,20
,Marcin Cebula,2.17,0.74,55%,1.12,68%,12,22,96.1km,6.69,PKO Bank Polski Ekstraklasa,24,3,0,15,22,1.36,21.52,72%,29.90,33,2,0,0,0.31,3,18,72%,2.05,35,0.0km,14,26%,52,1.01,0,2.85,0.12,"1,451",Staszow,24
Int,Giorgi Merebashvili,3.50,0.73,40%,0.87,61%,10,25,94.1km,6.92,PKO Bank Polski Ekstraklasa,21,4,0,19,31,1.82,19.02,66%,28.64,26,1,0,0,0.44,1,12,66%,2.11,48,0.0km,16,29%,55,1.38,0,3.21,0.15,"1,235",Tbilisi,33
Lst,Jakub Holubek,1.37,0.25,33%,2.68,63%,4,12,119.0km,6.97,PKO Bank Polski Ekstraklasa,8,2,0,22,35,0.75,19.62,71%,27.47,21,11,0,3,0.69,4,43,70%,2.80,22,0.0km,20,35%,56,3.98,0,3.99,0.19,"1,445",Trencin,29
Lst,Omar,4.49,0.53,36%,2.38,44%,4,11,45.3km,6.87,PKO Bank Polski Ekstraklasa,7,2,0,8,18,1.45,25.21,67%,37.74,15,0,0,0,0.66,0,18,50%,0.53,34,0.0km,10,33%,30,3.56,0,1.06,0.13,682,La Laguna,32
,Gerard Badía,1.67,0.56,50%,1.00,63%,5,10,68.6km,6.74,PKO Bank Polski Ekstraklasa,13,2,0,17,27,1.11,19.67,70%,28.11,13,1,0,0,0.33,0,9,61%,1.56,15,0.0km,11,25%,43,3.86,0,2.56,0.11,810,Tortosa,30
,Juan Cámara,2.41,0.00,0%,0.72,70%,0,6,76.4km,6.71,PKO Bank Polski Ekstraklasa,12,0,0,19,27,0.72,23.58,70%,33.69,6,10,0,0,0.36,2,6,50%,2.29,20,0.0km,11,23%,47,1.60,0,4.57,0.12,748,Jaén,26
,Konrad Gutowski,2.25,0.32,33%,0.96,57%,1,3,21.8km,6.65,PKO Bank Polski Ekstraklasa,5,1,0,4,7,0.96,15.75,65%,24.11,11,0,0,0,0.64,0,3,70%,2.25,7,0.0km,2,33%,6,0.96,0,3.21,0.32,280,Bielsko-Biala,21
Wnt,Patryk Szysz,1.85,1.03,53%,0.99,46%,29,55,225.4km,6.70,PKO Bank Polski Ekstraklasa,30,8,0,11,24,1.95,15.76,67%,23.56,38,6,0,0,0.39,8,28,53%,2.45,52,0.0km,20,25%,79,0.89,0,4.61,0.04,"2,536",Lublin,22
,Hubert Adamczyk,3.24,0.84,44%,1.80,56%,7,16,59.3km,6.94,PKO Bank Polski Ekstraklasa,11,3,0,10,18,1.92,22.53,67%,33.68,25,2,0,0,0.48,1,15,60%,1.44,27,0.0km,11,34%,32,1.44,0,2.40,0.24,751,Bydgoszcz,22
,Mikolaj Kwietniewski,2.93,0.81,48%,0.87,70%,13,27,115.2km,6.74,PKO Bank Polski Ekstraklasa,10,3,0,21,30,1.68,18.89,69%,27.36,39,2,0,0,0.44,1,14,58%,1.93,47,0.0km,16,30%,52,1.78,0,3.30,-,"1,444",Kielce,21
,Bartlomiej Wdowik,0.58,0.00,0%,1.15,67%,0,1,23.9km,6.38,PKO Bank Polski Ekstraklasa,7,0,0,8,12,0.29,17.88,70%,25.38,8,0,0,0,-,0,4,78%,2.02,2,0.0km,5,33%,15,1.73,0,2.60,-,312,Olkusz,19
Lst,Kamil Mazek,3.25,0.53,38%,0.71,73%,9,24,128.6km,6.86,PKO Bank Polski Ekstraklasa,10,3,0,24,33,1.42,18.59,69%,26.91,37,5,0,0,0.47,3,12,54%,1.48,55,0.0km,20,27%,72,2.28,0,2.71,0.12,"1,525",Warsaw,25
,Mateusz Mlynski,2.03,0.49,35%,0.86,62%,8,23,118.1km,6.65,PKO Bank Polski Ekstraklasa,18,3,0,13,21,1.41,14.64,64%,22.82,34,2,0,0,0.18,1,14,60%,1.97,33,0.0km,13,28%,46,0.45,0,3.26,0.06,"1,463",Gdynia,19
,Jakub Wrobel,2.15,0.43,17%,1.29,67%,1,6,14.9km,6.53,PKO Bank Polski Ekstraklasa,2,0,0,2,3,2.58,13.35,65%,20.67,3,0,0,0,-,0,3,80%,1.72,5,0.0km,1,25%,4,-,0,2.15,-,209,Dabrowa Tarnowska,26
Rst,Adam Ratajczyk,-,-,-,-,100%,-,0,1.5km,6.60,PKO Bank Polski Ekstraklasa,0,0,0,1,1,-,-,60%,-,0,0,0,0,-,0,1,100%,-,0,-,0,0%,0,-,0,-,-,24,Warsaw,17
,Jacek Kielb,2.95,0.00,0%,0.74,100%,0,3,9.0km,6.57,PKO Bank Polski Ekstraklasa,0,0,0,2,2,2.21,20.66,64%,32.46,3,0,0,0,-,0,1,60%,2.21,4,0.0km,2,33%,6,1.48,0,3.69,-,122,Siedlce,32
,Adam Ryczkowski,-,-,100%,-,-,1,1,8.7km,6.70,PKO Bank Polski Ekstraklasa,0,0,0,-,0,-,-,100%,-,2,1,0,0,-,1,0,50%,-,0,-,3,100%,3,-,0,-,-,61,Wegrow,23
Lst,Bryan Nouvier,2.37,0.38,40%,0.96,64%,6,15,126.1km,6.73,PKO Bank Polski Ekstraklasa,9,2,0,25,39,0.96,21.78,73%,29.79,15,6,0,1,0.51,0,15,60%,1.73,37,0.0km,21,30%,70,0.97,0,2.88,0.13,"1,405",Metz,24
Wnt,Sebastian Kowalczyk,2.04,0.38,38%,1.10,56%,9,24,219.1km,6.65,PKO Bank Polski Ekstraklasa,31,0,0,40,71,1.02,21.46,71%,30.37,41,10,0,0,0.72,1,26,55%,1.15,48,0.0km,15,16%,93,1.04,0,2.08,0.08,"2,122",Szczecin,21
Int,Egy Maulana Vikri,2.90,1.16,43%,1.16,64%,6,14,47.5km,6.68,PKO Bank Polski Ekstraklasa,7,1,0,14,22,2.70,18.73,64%,29.36,11,8,0,0,0.77,0,6,60%,1.74,15,0.0km,7,17%,39,1.09,0,2.90,0.19,466,Medan,19
,Michal Mak,2.82,0.38,43%,1.28,52%,3,7,62.3km,6.67,PKO Bank Polski Ekstraklasa,9,0,0,11,21,0.90,15.64,64%,24.62,20,1,0,0,0.51,2,10,58%,1.79,22,0.0km,4,20%,20,1.40,0,3.08,-,702,Sucha Beskidzka,28
